Country Name,User Population,Language Status,Other Comments,Language Development
Pakistan,"108,017,000 in Pakistan, all users. L1 users: 17,000 in Pakistan (2020). L2 users: 108,000,000 (Ramaswami et al 2012).","1 (National). Statutory national working language (1973, Constitution, Article 251(2)).",Non-indigenous.,Taught in all primary and secondary schools. Taught in most tertiary schools.
Palau,"19,740 in Palau, all users. L1 users: 3,440 in Palau (2022). L2 users: 16,300 (2022).","1 (National). Statutory national language (1979, Constitution, Article 13(1)).",Non-indigenous.,Taught in all primary and secondary schools.
Panama,"345,000 in Panama (2020), all users. L1 users: 169,000 (2021 Joshua Project), based on ethnicity.",5* (Dispersed).,Non-indigenous.,N/A
Papua New Guinea,"834,000 in Papua New Guinea, all users. L1 users: 134,000 in Papua New Guinea (2020 World Factbook). L2 users: 700,000 (2021).",1 (National). De facto national language. Used as LWC in the southern part of the country.,Non-indigenous.,Taught in all primary and secondary schools. Taught in all tertiary schools.
Peru,"15,100 in Peru (2021 Joshua Project), based on ethnicity.",Unestablished.,Non-indigenous.,N/A
Philippines,"53,666,000 in Philippines, all users. L1 users: 166,000 in Philippines (2021). L2 users: 53,500,000 (2021).","1 (National). Statutory national working language (1987, Constitution, Article 14(7)).",Non-indigenous.,Taught in most primary and secondary schools from grade 3; taught with Filipino [fil] as a language of instruction. Taught in all tertiary schools.
Pitcairn,N/A,1 (National). De facto national language.,Non-indigenous.,All primary school students attend the 1 school on the island. Students go to New Zealand for their secondary-level education.
Poland,"13,237,000 in Poland, all users. L1 users: 737,000 in Poland (2021 census). L2 users: 12,500,000 (European Commission 2012).",4 (Educational).,Non-indigenous.,Taught as subject in all primary and secondary schools.
Portugal,"2,821,500 in Portugal, all users. L1 users: 51,500 in Portugal (2023 Joshua Project), based on ethnicity. L2 users: 2,770,000 (European Commission 2012).",4 (Educational).,Non-indigenous.,Taught as subject in all primary and secondary schools.
Puerto Rico,"1,551,000 in Puerto Rico, all users. L1 users: 61,000 in Puerto Rico (2020 J. Leclerc). L2 users: 1,490,000 (2020).","1 (National). Statutory national working language (1993, Official Languages Act No. 1, Article 1).",Non-indigenous.,Taught as subject in all primary and secondary schools. Taught in some tertiary schools.
Qatar,"42,700 in Qatar (2020), based on ethnicity.",Unestablished.,Non-indigenous.,"Taught as subject in primary and secondary schools from grade 4. Taught in tertiary schools for natural science, business and engineering programs."
Romania,"5,953,900 in Romania, all users. L1 users: 3,900 in Romania (2021 Joshua Project). L2 users: 5,950,000 (European Commission 2012).",4 (Educational).,Non-indigenous.,Taught as subject in all secondary schools.
Russian Federation,"5,077,830 in Russian Federation, all users. L1 users: 7,830 in Russian Federation (2020 census). L2 users: 5,070,000 (2020 census).",4 (Educational).,Non-indigenous.,Taught as subject in all secondary schools. 88.6% of student studying a foreign language studied English in Russian schools.
Rwanda,"1,985,470 in Rwanda, all users. L1 users: 5,470 in Rwanda (2011 UNSD). L2 users: 1,980,000 (Pinyon and Haydon 2010).","1 (National). Statutory national working language (2003, Constitution, Article 8).",Non-indigenous. May be more users of English [eng] than French [fra].,Taught in all primary and secondary schools from grade 4. Taught in tertiary schools.
Saint Barthélemy,100 in Saint Barthélemy (2011 SIL).,7 (Shifting).,Non-indigenous. English with some creole influence.,N/A
Saint Helena,"5,650 in Saint Helena (2021 census).",1 (National). De facto national language.,"Non-indigenous. Christian, secular.",Taught in all primary and secondary schools.
Saint Kitts and Nevis,960 in Saint Kitts and Nevis (2024).,1 (National). De facto national language.,"Non-indigenous. When Creole languages exist alongside their lexifier language, as in St. Kitts and Nevis, a continuum forms of variations between the Creole and the lexifier language. It is therefore difficult to substantiate the number of Creole speakers and English speakers.",Taught in all primary and secondary schools.
Saint Lucia,"46,700 in Saint Lucia, all users. L1 users: 1,700 in Saint Lucia (2021 Joshua Project), based on ethnicity. L2 users: 45,000 (2020).",1 (National). De facto national language.,"Non-indigenous. An emerging English vernacular on Saint Lucia in a rural area is significantly restructured, heavily French Creole [acf] influenced, English lexicon (1998 P. Garrett).",Taught in all primary and secondary schools. Taught in all tertiary schools.
Saint Martin,"5,000 in Saint Martin (2011 SIL).",3 (Wider communication).,"Non-indigenous. When Creole languages exist alongside their lexifier language, as in Saint Martin, a continuum forms of variations between the Creole and the lexifier language. It is therefore difficult to substantiate the number of Creole speakers and English speakers.",N/A
Saint Vincent and the Grenadines,"2,100 in Saint Vincent and the Grenadines (2024).",1 (National). De facto national language.,"Non-indigenous. When Creole languages exist alongside their lexifier language, as in St. Vincent and the Grenadines, a continuum forms of variations between the Creole and the lexifier language. It is therefore difficult to substantiate the number of Creole speakers and English speakers.",Taught in all primary and secondary schools.
Samoa,"124,600 in Samoa, all users. L1 users: 18,600 in Samoa (2022). L2 users: 106,000 (2022).","1 (National). Statutory national language (1960, Constitution, Article 54).",Non-indigenous.,Taught as subject in all primary schools from grade 3. Used as language of instruction in all secondary schools.
São Tomé e Príncipe,"10,600 in São Tomé e Príncipe (2022 World Factbook).",Unestablished.,Non-indigenous.,N/A
Saudi Arabia,"109,000 in Saudi Arabia (2023 Joshua Project), based on ethnicity.",4 (Educational).,Non-indigenous.,Taught as subject in most secondary schools. Taught in many tertiary schools.
Serbia,"4,200 in Serbia (Leclerc 2020c).",4 (Educational).,Non-indigenous.,Taught as subject in all primary and secondary schools.
Seychelles,"35,600 in Seychelles, all users. L1 users: 4,600 in Seychelles (2022). L2 users: 31,000 (2021).","1 (National). Statutory national language (1993, Constitution, Article 4(1)).",Non-indigenous. Principal language of the schools.,"Taught in all primary and secondary schools, being gradually introduced from grade 3."
Sierra Leone,"1,223,400 in Sierra Leone, all users. L1 users: 3,400 in Sierra Leone (2021). L2 users: 1,220,000 (Leclerc 2017g).",1 (National). De facto national language.,Non-indigenous.,Taught in all primary and secondary schools from grade 4; taught as subject in grades 1–3. Taught in all tertiary schools.
Singapore,"3,073,000 in Singapore, all users. L1 users: 223,000 in Singapore (2023 Joshua Project), based on ethnicity. L2 users: 2,850,000 (2020 World Factbook).","1 (National). Statutory national working language (1963, Constitution (amended), Article 153A(1)).",Non-indigenous.,Taught in all primary and secondary schools. Taught in all tertiary schools.
Sint Maarten,"6,400 in Sint Maarten (2020).","1 (National). Statutory national language (2010, Constitution, Article 1(2)).","Non-indigenous. When Creole languages exist alongside their lexifier language, as in Sint Maarten, a continuum forms of variations between the Creole and the lexifier language. It is therefore difficult to substantiate the number of Creole speakers and English speakers.",Taught in all primary and secondary schools in early grades and as subject thereafter.
Slovakia,"1,422,900 in Slovakia, all users. L1 users: 2,900 in Slovakia (2023 Joshua Project), based on ethnicity. L2 users: 1,420,000 (European Commission 2012).",4 (Educational).,Non-indigenous.,Taught as subject in primary and secondary schools from grade 4.
Slovenia,"1,240,000 in Slovenia (European Commission 2012), L2 users.",4 (Educational).,Non-indigenous.,Taught as subject in primary and secondary schools from grade 4.
Solomon Islands,"282,000 in Solomon Islands, all users. L1 users: 22,000 in Solomon Islands (2021). L2 users: 260,000 (2019).",1 (National). De facto national language.,Non-indigenous.,Taught in all primary and secondary schools.
Somalia,"2,210 in Somalia (2021).",4 (Educational).,Non-indigenous.,Used as language of instruction in all secondary schools along with Standard Arabic [arb].
South Africa,"19,990,000 in South Africa, all users. L1 users: 5,690,000 in South Africa (2020). L2 users: 14,300,000 (2020).","1 (National). Statutory national language (1996, Constitution, Article 6(1)), has been designated, along with Afrikaans, as an official language in all 9 provinces.",Non-indigenous.,Taught in all primary and secondary schools from grade 4; taught as subject in grades 1–3. Taught in most tertiary schools.
South Korea,"11,716,000 in South Korea, all users. L1 users: 216,000 in South Korea (2023 census), based on nationality. L2 users: 11,500,000 (2022 The Diplomat).",4 (Educational).,Non-indigenous.,Taught as subject in all primary and secondary schools.
South Sudan,Almost no L1 speakers.,"1 (National). Statutory national working language (2011, Constitution, Article 6.2).",Non-indigenous.,"Taught in primary schools, but it is not widely spoken in homes or even spoken well by many teachers."
Spain,"10,876,000 in Spain, all users. L1 users: 476,000 in Spain (2022 census), based on nationality. L2 users: 10,400,000 (European Commission 2012).",4 (Educational).,Non-indigenous.,Taught as subject in primary and secondary schools.
Sri Lanka,"5,282,700 in Sri Lanka, all users. L1 users: 12,700 in Sri Lanka (2021). L2 users: 5,270,000 (2021).","3 (Wider communication). De facto national working language, used in government and education.",Non-indigenous.,Taught in primary and secondary schools.
Sudan,N/A,"1 (National). Statutory national working language (2005, Interim Constitution, Article 8(3)).",Non-indigenous.,Taught as subject in some secondary schools. Taught in many tertiary schools.
Suriname,"206,200 in Suriname, all users. L1 users: 1,200 in Suriname (2021). L2 users: 205,000 (2021).",4 (Educational).,Non-indigenous.,Taught as subject in secondary schools.
Sweden,"8,831,000 in Sweden, all users. L1 users: 41,000 in Sweden (2022 census), based on nationality. L2 users: 8,790,000 (2022).",4 (Educational).,Non-indigenous.,Taught as subject in all primary and secondary schools.
Switzerland,"4,983,000 in Switzerland, all users. L1 users: 483,000 in Switzerland (2018 census). L2 users: 4,500,000 (2020).",4 (Educational).,Non-indigenous.,Taught as subject in all primary and secondary schools.
Taiwan,"15,300 in Taiwan (2018 census), based on nationality.",4 (Educational).,Non-indigenous.,Taught as subject in primary and secondary schools from grade 5.
Tanzania,"6,709,600 in Tanzania, all users. L1 users: 9,600 in Tanzania (2021 Joshua Project). L2 users: 6,700,000 (2021).",3 (Wider communication). De facto national working language.,Non-indigenous.,Taught in a few primary schools in urban areas; taught as subject in some schools elsewhere. Used as language of instruction in all secondary schools. Taught in all tertiary schools.
Thailand,"18,957,000 in Thailand, all users. L1 users: 57,000 in Thailand (Leclerc 2019a), based on ethnicity. L2 users: 18,900,000 (2022).",5* (Dispersed).,Non-indigenous.,Taught as subject in secondary schools.
Tokelau,580 in Tokelau (2020 UNSD).,1 (National). De facto national language.,Non-indigenous.,Taught as subject in all primary and secondary schools.
Tonga,"33,350 in Tonga, all users. L1 users: 750 in Tonga (2021 World Factbook). L2 users: 32,600 (2021).","1 (National). De facto national working language, considered co-official with Tongan [ton].",Non-indigenous.,Taught as subject in most primary and secondary schools.
Trinidad and Tobago,"1,300,000 in Trinidad and Tobago (2011 J. Ferreira).","1 (National). De facto national language, standard English in writing, education; non-standard English in informal domains, among distinct ethnic groups.",Non-indigenous.,Taught in all primary and secondary schools.
Tunisia,"1,191,600 in Tunisia, all users. L1 users: 1,600 in Tunisia (2021), based on ethnicity. L2 users: 1,190,000 (Ramaswami et al 2012).",4 (Educational).,Non-indigenous.,Taught as subject in secondary schools.
Turkey,"29,000 in Turkey (2023 Joshua Project), based on ethnicity.",Unestablished.,Non-indigenous.,N/A
Turks and Caicos Islands,"1,620 in Turks and Caicos Islands (2024).",1 (National). De facto national language.,Non-indigenous.,Taught in all primary and secondary schools.
Tuvalu,"800 in Tuvalu (Crystal 2003a), L2 users.",1 (National). De facto national language.,Non-indigenous.,Taught in all primary and secondary schools.
U.S. Virgin Islands,"62,400 in U.S. Virgin Islands, all users. L1 users: 37,000 in U.S. Virgin Islands (2023 Joshua Project), based on ethnicity. L2 users: 25,400 (2020 World Factbook).",1 (National). De facto national language.,Non-indigenous.,Taught in all primary and secondary schools.
Uganda,"29,004,100 in Uganda, all users. L1 users: 4,100 in Uganda (2016 J. Leclerc), increasing. L2 users: 29,000,000 (2014).","1 (National). Statutory national language (2005, Constitution, Amendment Act, Article 6(1)).",Non-indigenous.,Taught in all primary and secondary schools. Taught in all tertiary schools.
Ukraine,"3,000,000 in Ukraine (2019), L2 users.",4 (Educational).,Non-indigenous.,Taught as subject in most primary and secondary schools from grade 5.
United Arab Emirates,"7,079,100 in United Arab Emirates, all users. L1 users: 79,100 in United Arab Emirates (2022). L2 users: 7,000,000 (Shafiq and Afzal 2020).",3 (Wider communication). De facto national working language.,Non-indigenous.,Taught as subject in primary and secondary schools and is used as the language of instruction in the many private schools in the country. Taught in most tertiary schools.
United States,"318,000,000 in United States, all users. L1 users: 267,000,000 in United States (2024 World Factbook). L2 users: 51,000,000 (2024).",1 (National). De facto national language.,Non-indigenous.,Taught in all primary and secondary schools. Taught in all tertiary schools.
Uruguay,"832,000 in Uruguay, all users. L1 users: 2,000 in Uruguay (2021). L2 users: 830,000 (2019 census).",5* (Dispersed).,Non-indigenous.,N/A
Vanuatu,"126,000 in Vanuatu, all users. L1 users: 6,000 in Vanuatu (2020 World Factbook). L2 users: 120,000 (Crystal 2003a).","1 (National). Statutory national language (1980, Constitution, Article 3(1)).",Non-indigenous.,Taught in primary and secondary schools from grade 3.
Venezuela,"29,400 in Venezuela (2021 Joshua Project), based on ethnicity.",5* (Dispersed).,Non-indigenous.,N/A
Yemen,"2,714,400 in Yemen, all users. L1 users: 14,400 in Yemen (2021 Joshua Project), based on ethnicity. L2 users: 2,700,000 (Ramaswami et al 2012).",5* (Dispersed).,Non-indigenous.,N/A
Zambia,"3,416,300 in Zambia, all users. L1 users: 16,300 in Zambia (2020). L2 users: 3,400,000 (2020).","1 (National). Statutory national language (1991, Constitution, Article 1(3)).",Non-indigenous.,Taught in all primary and secondary schools. Taught in all tertiary schools.
Zimbabwe,"5,158,000 in Zimbabwe, all users. L1 users: 8,000 in Zimbabwe (2023 Joshua Project), based on ethnicity. L2 users: 5,150,000 (2022).",1 (National). De facto national language.,Non-indigenous.,Taught in all primary and secondary schools from grade 4 in the rural areas. Taught in all tertiary schools.
